	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z32-A	0.794210526	0.92	0.912105263	0.875789474	0.992105263	0.977894737	0.836842105	0.846315789	0.855263158	0.851578947	0.91	0.858947368	0.904736842	0.917894737	0.829473684	0.903684211	0.851052632	0.845263158	0.88	0.853157895	0.903684211	0.912105263	0.894210526	0.943684211	0.926315789	0.881052632	0.902631579	0	0.839473684	0.87	0.863157895	0.989473684	0.911578947	0.867894737	0.96	0.932105263	0.998421053	0.854210526	0.902105263	0.930526316	0.891578947	0.88	0.856315789	0.943157895	0.85	0.937894737	0.854736842	0.697894737	0.854736842	0.92	0.865789474	0.847368421	0.88	0.853157895	0.860526316	0.887894737	0.973684211	0.912105263	0.886315789	0.866842105	0.857368421	0.906842105	0.903684211	0.87	0.9	0.733157895	0.885789474
Z32-C	0.517894737	0.604736842	0.542105263	0.522105263	0.992105263	0.975263158	0.760526316	0.337368421	0.385263158	0.288421053	0.564736842	0.574736842	0.544736842	0.761052632	0.597368421	0.551578947	0.497368421	0.522105263	0.549473684	0.572631579	0.567368421	0.558947368	0.538421053	0.962631579	0.939473684	0.615263158	0.930526316	0.839473684	0	0.734736842	0.526842105	0.961578947	0.556315789	0.528947368	0.975263158	0.915789474	1	0.561052632	0.804736842	0.878421053	0.795789474	0.874736842	0.404210526	0.681052632	0.347368421	0.961578947	0.518421053	0.721578947	0.415263158	0.567368421	0.611578947	0.543684211	0.611578947	0.415789474	0.444736842	0.729473684	0.953157895	0.531052632	0.714736842	0.511578947	0.671052632	0.543157895	0.524210526	0.521052632	0.562631579	0.664736842	0.547368421
Z32-N	0.722105263	0.640526316	0.756842105	0.724210526	0.965263158	0.824736842	0.789473684	0.737368421	0.616842105	0.763157895	0.777894737	0.792631579	0.773684211	0.795263158	0.611578947	0.731578947	0.752631579	0.712105263	0.756842105	0.781578947	0.764210526	0.787894737	0.776315789	0.878947368	0.875263158	0.701052632	0.765789474	0.87	0.734736842	0	0.749473684	0.835789474	0.721578947	0.772631579	0.828421053	0.946842105	0.851578947	0.709473684	0.824736842	0.870526316	0.820526316	0.816315789	0.75	0.964210526	0.731578947	0.937368421	0.806842105	0.783684211	0.72	0.785263158	0.703684211	0.775789474	0.783157895	0.748947368	0.757894737	0.727368421	0.962105263	0.739473684	0.575789474	0.73	0.746842105	0.760526316	0.704736842	0.766842105	0.782631579	0.770526316	0.768947368
Z32-R	0.47	0.538421053	0.361052632	0.497368421	0.992105263	0.977894737	0.783684211	0.356842105	0.476842105	0.381052632	0.366315789	0.400526316	0.392105263	0.761052632	0.596315789	0.405789474	0.477368421	0.675263158	0.384736842	0.571052632	0.441578947	0.397894737	0.376842105	0.978421053	0.952105263	0.615789474	0.951052632	0.863157895	0.526842105	0.749473684	0	0.995263158	0.404736842	0.417894737	0.993157895	0.930526316	1	0.576842105	0.822105263	0.927894737	0.848947368	0.923157895	0.471578947	0.958421053	0.612631579	0.92	0.834736842	0.788947368	0.371052632	0.427368421	0.683684211	0.414736842	0.915263158	0.407368421	0.753684211	0.755789474	0.976315789	0.433157895	0.723684211	0.375789474	0.705263158	0.444210526	0.396315789	0.456315789	0.398947368	0.724210526	0.357368421
Z36-A	0.971578947	0.768947368	0.985789474	0.948947368	0.972105263	0.877368421	0.976315789	0.979473684	0.872631579	1	0.988421053	0.997894737	0.988947368	0.985263158	0.788421053	0.937894737	0.94	0.946315789	0.953684211	0.981578947	0.98	1	0.988421053	0.918421053	0.977368421	0.900526316	0.760526316	0.989473684	0.961578947	0.835789474	0.995263158	0	0.927368421	0.941578947	0.653157895	1	0.698421053	0.943157895	0.912105263	0.942631579	0.944736842	0.837368421	0.991052632	0.998421053	0.993684211	0.983157895	0.934736842	0.995789474	0.964210526	1	0.892631579	0.987894737	0.863684211	0.95	0.921052632	0.896842105	0.922631579	0.955789474	0.751578947	0.98	0.963157895	0.977894737	0.958421053	0.964210526	0.987368421	0.947894737	0.965263158
Z36-C	0.500526316	0.482105263	0.256315789	0.496315789	0.967894737	0.92	0.832631579	0.369473684	0.478421053	0.328947368	0.295263158	0.284210526	0.265789474	0.761052632	0.557368421	0.233684211	0.539473684	0.688421053	0.311052632	0.573157895	0.410526316	0.253157895	0.253157895	0.915263158	0.99	0.549473684	0.924210526	0.911578947	0.556315789	0.721578947	0.404736842	0.927368421	0	0.368421053	0.932105263	0.935789474	0.942105263	0.574736842	0.775789474	0.899473684	0.827894737	0.855789474	0.503157895	0.998947368	0.661052632	0.969473684	0.864210526	0.773684211	0.355789474	0.383684211	0.623157895	0.320526316	0.896315789	0.367894737	0.776842105	0.763157895	0.968947368	0.337368421	0.674736842	0.328421053	0.707368421	0.424210526	0.315263158	0.402631579	0.342105263	0.727894737	0.328947368
Z36-N	0.490526316	0.505789474	0.396315789	0.48	0.988947368	0.977368421	0.805789474	0.378421053	0.521052632	0.414736842	0.41	0.413157895	0.404736842	0.727368421	0.611578947	0.372105263	0.468421053	0.708421053	0.365789474	0.568421053	0.410526316	0.403157895	0.404210526	0.973157895	0.965789474	0.606315789	0.964736842	0.867894737	0.528947368	0.772631579	0.417894737	0.941578947	0.368421053	0	0.966842105	0.932105263	0.994210526	0.592631579	0.784736842	0.872631579	0.798947368	0.843684211	0.507368421	1	0.657368421	0.922631579	0.823684211	0.777894737	0.367368421	0.420526316	0.617368421	0.393684211	0.892631579	0.391578947	0.741578947	0.717368421	0.930526316	0.395263158	0.722105263	0.388947368	0.658421053	0.407368421	0.398947368	0.4	0.386842105	0.696842105	0.345789474
Z36-R	0.951052632	0.757368421	0.983157895	0.955263158	0.971578947	0.883684211	0.922631579	0.956315789	0.862631579	0.992631579	0.989473684	0.993157895	0.984210526	0.969473684	0.758947368	0.943684211	0.971052632	0.957368421	0.934210526	0.960526316	0.955789474	0.993157895	0.987368421	0.902105263	0.945789474	0.864210526	0.755263158	0.96	0.975263158	0.828421053	0.993157895	0.653157895	0.932105263	0.966842105	0	0.988947368	0.698947368	0.921052632	0.925789474	0.982631579	0.970526316	0.841578947	0.982631579	0.994736842	0.991578947	0.955789474	0.963684211	0.963684211	0.973157895	0.993157895	0.873684211	0.952631579	0.901578947	0.991052632	0.958947368	0.921578947	0.965789474	0.935789474	0.729473684	0.955789474	0.972631579	0.971052632	0.964210526	0.942105263	0.975789474	0.961578947	0.972631579
Z39-A	0.931578947	0.946315789	0.944210526	0.943684211	0.994736842	0.981052632	0.94	0.945263158	0.946842105	0.946842105	0.944736842	0.946842105	0.934736842	0.946842105	0.944736842	0.945789474	0.946842105	0.930526316	0.926315789	0.946842105	0.923157895	0.945263158	0.931578947	0.985263158	0.99	0.946842105	0.979473684	0.932105263	0.915789474	0.946842105	0.930526316	1	0.935789474	0.932105263	0.988947368	0	1	0.928947368	0.971578947	0.947894737	0.945263158	0.946842105	0.943157895	1	0.933684211	0.953684211	0.946842105	0.946842105	0.946842105	0.946842105	0.943684211	0.936315789	0.965789474	0.946842105	0.946842105	0.931578947	0.980526316	0.946842105	0.946842105	0.944210526	0.922105263	0.946842105	0.944210526	0.946842105	0.937368421	0.941052632	0.931052632
Z39-N	0.998421053	0.781052632	0.990526316	1	0.491578947	0.870526316	0.992105263	0.988947368	0.87	1	0.998421053	1	1	1	0.807368421	0.972631579	1	0.982631579	0.978947368	1	0.988421053	1	1	0.925789474	0.993684211	0.904210526	0.764210526	0.998421053	1	0.851578947	1	0.698421053	0.942105263	0.994210526	0.698947368	1	0	0.954736842	0.978421053	0.993157895	0.994736842	0.895263158	1	1	1	1	0.998421053	1	0.999473684	1	0.940526316	0.998421053	0.929473684	0.998421053	0.987368421	0.977368421	1	0.972631579	0.785263158	1	0.995789474	0.995789474	0.974210526	0.992105263	1	0.888947368	1
