	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z18-C	0.826086957	0.794117647	0.84	0.826923077	0.84	0.833333333	0.85483871	0.854166667	0.724137931	0.631578947	0.783783784	0	0.8	0.681818182	0.843137255	0.826086957	0.757575758	0.917647059	0.851851852	0.775	0.872727273	0.666666667	0.761904762	0.840909091	0.945454545	0.730769231	1	0.743589744	0.86440678	0.86440678	0.8	0.973684211	0.825	0.783783784	0.976190476	0.909090909	1	0.876923077	0.893617021	0.815789474	0.818181818	0.75	0.824561404	1	0.8	0.96835443	0.852459016	0.72	0.80952381	0.631578947	0.830188679	0.825	0.851851852	0.774193548	0.794117647	0.913580247	0.901960784	0.8	0.887096774	0.80952381	0.836363636	0.771428571	0.733333333	0.854545455	0.75	0.742857143	0.790697674
Z18-R	0.679245283	0.8125	0.745762712	0.758064516	0.902439024	0.838709677	0.855263158	0.685185185	0.641025641	0.8	0.826923077	0.8	0	0.714285714	0.660714286	0.62745098	0.760869565	0.75862069	0.852941176	0.725490196	0.761904762	0.702702703	0.716981132	0.883333333	0.911764706	0.775	0.983333333	0.839285714	0.797101449	0.779411765	0.836363636	0.921568627	0.788461538	0.78	0.907407407	0.901098901	1	0.746478873	0.920634921	0.78	0.666666667	0.833333333	0.847222222	0.976190476	0.862745098	0.947058824	0.805555556	0.666666667	0.730769231	0.727272727	0.761904762	0.714285714	0.852941176	0.8	0.760869565	0.831460674	0.857142857	0.711111111	0.835616438	0.705882353	0.857142857	0.717391304	0.578947368	0.784615385	0.697674419	0.75	0.807017544
Z23-C	0.785714286	0.733333333	0.854166667	0.84	0.818181818	0.822222222	0.866666667	0.761904762	0.692307692	0.5625	0.8	0.681818182	0.714285714	0	0.782608696	0.785714286	0.689655172	0.8875	0.843137255	0.756756757	0.795918367	0.681818182	0.833333333	0.829268293	0.942307692	0.636363636	1	0.789473684	0.877192982	0.836363636	0.815789474	0.941176471	0.810810811	0.764705882	0.888888889	0.905405405	1	0.852459016	0.886363636	0.8	0.775	0.724137931	0.857142857	0.956521739	0.78125	0.961038961	0.844827586	0.681818182	0.794871795	0.5625	0.82	0.742857143	0.82	0.75	0.689655172	0.866666667	0.872340426	0.741935484	0.842105263	0.794871795	0.849056604	0.75	0.703703704	0.846153846	0.724137931	0.794117647	0.804878049
Z23-N	0.734375	0.807017544	0.768115942	0.742857143	0.901960784	0.779411765	0.804878049	0.738461538	0.745098039	0.847826087	0.857142857	0.843137255	0.660714286	0.782608696	0	0.672131148	0.847457627	0.760416667	0.828947368	0.774193548	0.797297297	0.795918367	0.784615385	0.835820896	0.924050633	0.775510204	0.956521739	0.830769231	0.825	0.794871795	0.846153846	0.862068966	0.786885246	0.819672131	0.888888889	0.911764706	0.981132075	0.780487805	0.820895522	0.779661017	0.661016949	0.803571429	0.880952381	0.981132075	0.868852459	0.950276243	0.831325301	0.717391304	0.815384615	0.822222222	0.780821918	0.766666667	0.828947368	0.818181818	0.785714286	0.789473684	0.830985915	0.745454545	0.769230769	0.737704918	0.848101266	0.75	0.7	0.8	0.781818182	0.796610169	0.838235294
Z23-R	0.711864407	0.833333333	0.75	0.742424242	0.891304348	0.818181818	0.8375	0.737704918	0.717391304	0.829268293	0.824561404	0.826086957	0.62745098	0.785714286	0.672131148	0	0.833333333	0.774193548	0.833333333	0.775862069	0.782608696	0.772727273	0.745762712	0.859375	0.904109589	0.777777778	0.953125	0.85483871	0.813333333	0.797297297	0.852459016	0.87037037	0.789473684	0.803571429	0.916666667	0.918367347	0.979166667	0.782051282	0.825396825	0.759259259	0.701754386	0.830188679	0.844155844	0.979166667	0.814814815	0.942857143	0.773333333	0.714285714	0.75862069	0.769230769	0.782608696	0.767857143	0.816901408	0.823529412	0.811320755	0.804347826	0.835820896	0.693877551	0.833333333	0.779661017	0.837837838	0.773584906	0.636363636	0.785714286	0.76	0.777777778	0.806451613
Z26-C	0.74	0.780487805	0.803571429	0.771929825	0.848484848	0.818181818	0.84057971	0.666666667	0.756756757	0.703703704	0.826086957	0.757575758	0.760869565	0.689655172	0.847457627	0.833333333	0	0.852272727	0.816666667	0.739130435	0.816666667	0.633333333	0.755102041	0.846153846	0.936507937	0.764705882	0.981132075	0.765957447	0.848484848	0.830769231	0.760869565	0.933333333	0.833333333	0.772727273	0.916666667	0.918604651	1	0.776119403	0.890909091	0.826086957	0.78	0.743589744	0.848484848	0.971428571	0.813953488	0.944785276	0.784615385	0.794117647	0.770833333	0.75	0.754385965	0.808510638	0.816666667	0.763157895	0.648648649	0.831325301	0.859649123	0.692307692	0.852941176	0.770833333	0.841269841	0.761904762	0.763157895	0.819672131	0.743589744	0.76744186	0.644444444
Z26-N	0.824742268	0.89010989	0.843137255	0.836538462	0.927710843	0.828282828	0.840707965	0.802083333	0.817073171	0.897435897	0.882978723	0.917647059	0.75862069	0.8875	0.760416667	0.774193548	0.852272727	0	0.838095238	0.87628866	0.826923077	0.87804878	0.857142857	0.89	0.917431193	0.865853659	0.928571429	0.887755102	0.813084112	0.824074074	0.875	0.887640449	0.797752809	0.846153846	0.915789474	0.925373134	0.988372093	0.8125	0.88	0.833333333	0.769230769	0.888888889	0.876106195	0.976470588	0.879120879	0.938095238	0.796296296	0.820512821	0.817204301	0.883116883	0.859813084	0.836956522	0.859813084	0.873563218	0.811764706	0.834645669	0.862745098	0.827586207	0.837837838	0.829787234	0.862385321	0.816091954	0.804878049	0.839622642	0.850574713	0.831460674	0.821052632
Z26-R	0.849315068	0.816666667	0.857142857	0.848101266	0.886792453	0.853333333	0.811764706	0.866666667	0.844827586	0.833333333	0.863636364	0.851851852	0.852941176	0.843137255	0.828947368	0.833333333	0.816666667	0.838095238	0	0.887323944	0.85	0.851851852	0.828571429	0.875	0.913580247	0.833333333	0.943661972	0.855072464	0.872093023	0.872093023	0.818181818	0.887096774	0.815384615	0.80952381	0.841269841	0.882352941	0.982142857	0.816091954	0.861111111	0.846153846	0.828571429	0.833333333	0.845238095	0.982142857	0.838709677	0.915730337	0.837209302	0.872727273	0.857142857	0.857142857	0.789473684	0.867647059	0.820512821	0.827586207	0.796610169	0.843137255	0.883116883	0.857142857	0.875	0.873239437	0.839506173	0.841269841	0.847457627	0.879518072	0.813559322	0.861538462	0.794117647
Z28-A	0.732142857	0.84	0.770491803	0.741935484	0.904761905	0.841269841	0.857142857	0.714285714	0.714285714	0.805555556	0.830188679	0.775	0.725490196	0.756756757	0.774193548	0.775862069	0.739130435	0.87628866	0.887323944	0	0.746031746	0.675675676	0.722222222	0.885245902	0.958333333	0.80952381	1	0.8	0.816901408	0.833333333	0.839285714	0.923076923	0.857142857	0.807692308	0.909090909	0.925531915	1	0.815789474	0.887096774	0.784313725	0.745454545	0.836734694	0.88	0.976744186	0.865384615	0.959537572	0.84	0.675675676	0.781818182	0.771428571	0.725806452	0.769230769	0.855072464	0.804347826	0.765957447	0.858695652	0.926470588	0.688888889	0.837837838	0.711538462	0.85915493	0.75	0.69047619	0.787878788	0.733333333	0.70212766	0.789473684
Z28-C	0.782608696	0.836065574	0.794520548	0.802631579	0.907407407	0.868421053	0.852272727	0.785714286	0.781818182	0.857142857	0.846153846	0.872727273	0.761904762	0.795918367	0.797297297	0.782608696	0.816666667	0.826923077	0.85	0.746031746	0	0.807692308	0.794117647	0.875	0.913580247	0.833333333	0.943661972	0.871428571	0.858823529	0.831325301	0.869565217	0.921875	0.833333333	0.80952381	0.859375	0.914285714	0.982142857	0.802325581	0.891891892	0.790322581	0.794117647	0.852459016	0.897727273	0.963636364	0.857142857	0.927777778	0.80952381	0.784313725	0.823529412	0.833333333	0.789473684	0.777777778	0.864197531	0.866666667	0.816666667	0.843137255	0.883116883	0.736842105	0.821428571	0.823529412	0.880952381	0.803278689	0.763636364	0.82278481	0.771929825	0.825396825	0.828571429
