	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z4-A	0.746499789	0.616033568	1.029889984	0.638833898	0.534608709	0.50752895	0.281793044	0.827654295	0.596874545	0.816829982	0.971580078	0.986535921	1.144752658	0.350455168	0.54022898	0.982299037	0.643492205	0.325267819	0.835471747	0.53796551	0.772255179	1.178327562	1.076921197	0.482242599	0.446561859	0.510006214	0.435809113	0.361855381	0.571686184	0.324479854	0.835990355	0.498574831	0.969031056	0.771795403	0.491006514	0.470025018	0.543505967	0.533460537	0	0.307622794	0.298842748	0.363595894	0.602463147	0.366778323	0.345391605	0.479548769	0.18194637	0.800540107	0.883592715	0.943678324	0.545155097	0.87565454	0.258123408	0.743662291	0.205486174	0.319882993	0.332501727	1.083450286	0.356816499	0.914661721	0.39040439	0.780376728	1.155596121	0.750557695	0.904828114	0.349464718	0.91200774
Z4-C	0.788512025	0.572546981	1.085734863	0.69801105	0.32514483	0.307171583	0.287968321	0.884416432	0.673036626	0.910844305	1.033165009	1.038422203	1.19390539	0.4834064	0.517531558	1.030355933	0.673370073	0.3529497	0.936432139	0.627439981	0.779676964	1.219939621	1.126493556	0.333710929	0.334620265	0.526800583	0.222404645	0.22265471	0.712907934	0.332536977	0.879603991	0.278435322	1.01924123	0.814685193	0.297792182	0.276088752	0.329443524	0.570675165	0.307622794	0	0.270366903	0.183542765	0.668221794	0.365438187	0.518334967	0.309264802	0.316417065	0.782860931	0.930486607	0.933644936	0.624964723	0.900625892	0.25407146	0.829096349	0.368722822	0.320175794	0.36496393	1.136667681	0.352151077	0.974290316	0.412819566	0.814088936	1.198946247	0.78535715	0.95181312	0.385802705	0.961013868
Z4-N	0.706681767	0.524063761	0.975445131	0.640994568	0.50221997	0.469653097	0.25208653	0.825944768	0.654562488	0.859139541	0.939452753	0.941566659	1.07880807	0.416263998	0.476361819	0.92721495	0.610096834	0.312647993	0.833639116	0.571083144	0.679217134	1.104434225	1.011110106	0.459016881	0.492055907	0.486909016	0.434187136	0.384452603	0.654605588	0.34501318	0.783941259	0.466043277	0.928871858	0.740835274	0.469229018	0.332916058	0.509005531	0.51037481	0.298842748	0.270366903	0	0.339875619	0.631295059	0.498443237	0.478534498	0.353465695	0.322479345	0.753116449	0.858621518	0.892170495	0.571028249	0.807764904	0.416946302	0.778478425	0.343731611	0.247051878	0.502387198	1.035504627	0.334683527	0.877601489	0.378900248	0.751706488	1.08546292	0.709514591	0.857442115	0.392141105	0.851420341
Z4-R	0.804748529	0.625383125	1.10375843	0.744383224	0.283419209	0.25348777	0.238142846	0.952480595	0.744543482	0.980859392	1.049488703	1.049470304	1.217799146	0.540947899	0.533472904	1.05414888	0.698798288	0.46245886	0.965199494	0.658581076	0.829727357	1.245558504	1.149533435	0.297568858	0.353364027	0.543457918	0.271096273	0.206458747	0.782836329	0.39381817	0.912211799	0.282246801	1.028500102	0.830034119	0.28362563	0.295667523	0.332252027	0.557054215	0.363595894	0.183542765	0.339875619	0	0.719679879	0.413690292	0.589925087	0.355973721	0.392071371	0.762579386	0.978199669	0.970026772	0.670472164	0.930278433	0.295950469	0.900463155	0.435656901	0.391765011	0.400748634	1.151194721	0.373062647	0.976938169	0.459034006	0.823636046	1.224282901	0.792612975	0.945343176	0.442572994	0.976000229
Z40-A	0.226123093	0.202441845	0.511599521	0.14610266	0.861344765	0.827799656	0.57912437	0.301503405	0.107348445	0.321297358	0.471514268	0.462876072	0.615516997	0.480007807	0.271800841	0.473340129	0.135932583	0.413056082	0.391736216	0.165339036	0.256709377	0.65588645	0.54095944	0.840856898	0.811462844	0.262457655	0.819595054	0.702667132	0.169276392	0.466083861	0.323962254	0.832733109	0.451227255	0.271771341	0.843455241	0.819918391	0.883102031	0.243086634	0.602463147	0.668221794	0.631295059	0.719679879	0	0.82134626	0.342512736	0.835401103	0.628336296	0.260951689	0.375927652	0.413893803	0.178150466	0.370508453	0.726810752	0.241862127	0.517258003	0.560524654	0.795940887	0.571107455	0.451195574	0.404936424	0.424859455	0.288637745	0.628814919	0.241263993	0.36035297	0.367499383	0.404662809
Z40-C	0.966279044	0.83077819	1.24064208	0.877933915	0.388386586	0.397812222	0.509014994	1.027494501	0.795055224	1.011092486	1.20062675	1.193516485	1.34443343	0.479305984	0.767383377	1.183794672	0.866176341	0.559700884	1.101290216	0.758846488	0.979486569	1.377395141	1.273233246	0.355100959	0.319080483	0.725622496	0.296312092	0.437357357	0.776816796	0.560668413	1.036813679	0.340147912	1.196512962	0.998494657	0.359524151	0.442588502	0.379562704	0.771805201	0.366778323	0.365438187	0.498443237	0.413690292	0.82134626	0	0.549082262	0.380665156	0.226723602	1.018204792	1.084067078	1.14940315	0.756952398	1.090727712	0.182835054	0.950571369	0.367844851	0.563916387	0.121809604	1.29746455	0.600789794	1.143353092	0.60631584	1.017511928	1.354581013	0.970135611	1.121187999	0.56939589	1.124062304
Z40-N	0.502121991	0.376027116	0.745103597	0.396856959	0.729085351	0.698652643	0.446331564	0.556086677	0.318195868	0.527792481	0.722104996	0.712937485	0.869192541	0.245779326	0.29797953	0.724348909	0.410332318	0.252804991	0.64076483	0.286881125	0.51523621	0.911049358	0.799200102	0.691944029	0.654108031	0.266526019	0.656272332	0.548315219	0.274844887	0.305980938	0.575575434	0.683731637	0.708826808	0.515596395	0.69822821	0.649296102	0.73340103	0.305444516	0.345391605	0.518334967	0.478534498	0.589925087	0.342512736	0.549082262	0	0.673008171	0.358726939	0.540120049	0.614111429	0.668293747	0.285711998	0.62809276	0.468042576	0.469228637	0.251159233	0.387510002	0.548017235	0.818991158	0.302546092	0.667460925	0.25777949	0.557216388	0.881381077	0.5099053	0.641759825	0.216889337	0.655833746
Z40-R	0.910721692	0.743776355	1.207156472	0.858066572	0.406971559	0.375568068	0.452016814	1.051852981	0.85284265	1.083386331	1.17945597	1.168323464	1.320240306	0.636463205	0.703043797	1.171358292	0.814068877	0.515647998	1.059904397	0.774589159	0.918455074	1.360399708	1.257604334	0.335624138	0.375712441	0.702640176	0.291370147	0.404075429	0.862086262	0.533766988	1.008328212	0.366702901	1.162425723	0.967026986	0.362782143	0.271238426	0.414592084	0.711567701	0.479548769	0.309264802	0.353465695	0.355973721	0.835401103	0.380665156	0.673008171	0	0.497956928	0.986940154	1.078475396	1.12578903	0.760809185	1.038418733	0.333620727	1.002442627	0.547688595	0.410608937	0.383613462	1.280715083	0.551988396	1.105595007	0.53615382	0.981222233	1.343057749	0.931638502	1.079999988	0.58847673	1.082625349
Z43-C	0.793697259	0.660419765	1.046852788	0.679410166	0.53637583	0.504644623	0.333072485	0.840628641	0.616558624	0.812744981	1.004128348	0.998277697	1.145402603	0.287737286	0.589300767	1.003731656	0.6903863	0.380262834	0.927534815	0.576178548	0.792033638	1.182133582	1.081633538	0.4935018	0.457780253	0.552266521	0.467678997	0.376036494	0.583711957	0.377683513	0.855661561	0.487842415	1.001343631	0.813676275	0.499631592	0.479094172	0.540677203	0.597178081	0.18194637	0.316417065	0.322479345	0.392071371	0.628336296	0.226723602	0.358726939	0.497956928	0	0.83034256	0.901170838	0.966025339	0.579316758	0.919367825	0.247381908	0.751945961	0.178470838	0.3807204	0.229706625	1.101769714	0.416954274	0.951419039	0.440520326	0.842526934	1.15787662	0.799734368	0.931720141	0.399801121	0.942232684
Z43-N	0.160733696	0.279283468	0.402000067	0.259425826	0.853572041	0.82839014	0.642455309	0.262778006	0.246544512	0.280581315	0.356982791	0.355778746	0.512682485	0.648455658	0.326200907	0.375201117	0.21794936	0.618796387	0.308850753	0.335931483	0.158203748	0.532474834	0.444375822	0.947203131	0.972419271	0.372189883	0.935421291	0.797538099	0.361283964	0.592235412	0.250882066	0.887593121	0.331553699	0.149350727	0.89136927	0.913310028	0.903580968	0.354304091	0.800540107	0.782860931	0.753116449	0.762579386	0.260951689	1.018204792	0.540120049	0.986940154	0.83034256	0	0.303727175	0.232347329	0.345167928	0.248033276	0.919028927	0.208258523	0.70527071	0.711373856	1.009862472	0.432740493	0.533386209	0.2871781	0.576250464	0.140637941	0.499870685	0.120306596	0.240954695	0.513447389	0.315162342
