#OTU ID,Z1-C,Z1-N,Z11-C,Z11-N,Z13-C,Z13-N,Z18-C,Z23-C,Z23-N,Z26-C,Z26-N,Z28-C,Z28-N,Z29-C,Z29-N,Z32-C,Z32-N,Z36-C,Z36-N,Z39-N,Z4-C,Z4-N,Z40-C,Z40-N,Z43-C,Z43-N,Z44-C,Z44-N,Z45-C,Z45-N,Z46-C,Z46-N,Z5-C,Z5-N,Z6-C,Z6-N
5e2a5c212bc5883e95a9516fc877b27c,0,0,135,140,2485,568,0,0,0,498,8097,0,0,370,0,7708,487,0,0,0,0,0,4789,4222,25570,0,0,8,1552,11061,0,0,0,0,0,0
009f253c714be68cc604a118e3e05558,1663,186,1808,4577,1646,0,0,0,3997,0,874,321,0,0,787,0,2249,758,106,16326,218,189,0,0,58,0,1808,0,0,332,0,165,0,81,0,0
2bd7c794989367516df4c468a397b257,539,2397,0,134,1099,240,1970,190,1229,695,1965,3100,1098,38,609,1774,454,1591,1994,0,346,1287,0,729,854,102,1705,1196,1692,874,103,675,1348,1417,3578,479
e093ec98cfe3faaac29efef98d3d3e5c,483,2153,0,109,992,202,1796,146,1148,552,1772,2603,1019,0,507,1553,417,1514,1700,0,320,977,0,583,677,128,1530,974,1367,672,49,538,1104,1054,3029,433
cf56e576fc47b79792a7fa4f89add4a2,0,0,26461,816,55,0,0,0,0,0,0,0,0,59,0,0,0,0,0,34874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235
4e3efcca958ce10c9d5ea49b1c26d270,512,1878,84,137,957,190,1562,130,974,561,1563,2341,946,0,495,1364,353,1404,1582,0,325,994,0,487,706,95,1345,1023,1347,625,0,579,1098,1145,2616,382
c7ea01bd0567f2b42169dfde97a6a3fa,405,1930,106,118,773,178,1464,120,1015,522,1538,2286,798,0,504,1333,355,1280,1484,0,296,924,0,531,645,86,1277,941,1226,741,0,574,1059,1011,2523,408
22a5f69dcf256ae504bf745356baa5be,533,1898,111,107,861,157,1438,101,938,522,1446,2123,770,0,481,1260,344,1324,1438,0,298,900,0,520,675,79,1260,887,1204,669,78,536,929,1066,2512,357
39547c6b93044d5e2b234521952c683f,449,1749,0,105,814,194,1458,131,927,528,1431,2208,845,0,466,1238,350,1301,1445,0,295,940,0,534,679,84,1335,938,1198,646,0,527,964,1004,2547,362
78de368e2228a18ef5de41b81a60cbbe,485,1797,30,107,864,182,1421,114,1070,499,1503,2218,881,0,458,1238,318,1237,1319,0,265,970,0,489,620,105,1280,897,1171,651,77,464,1036,911,2460,382
c8780bed3ab2556ea86a17c52ace1d70,9,0,0,175,0,0,0,0,955,0,3036,0,0,0,0,0,0,71,0,9,8946,36893,0,0,0,0,0,0,0,0,0,0,925,968,0,0
2e2af69fce091b60c3ae1066b3d0282e,0,0,0,0,0,0,0,0,0,475,180,0,0,0,0,668,0,132,703,0,4669,1720,0,0,4694,0,819,0,1823,2179,18834,0,509,0,0,1273
62e79efd15b92473e25da73b597c7125,0,0,14730,15887,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65d815c82ad383d4949ea15f9f425e98,0,0,0,0,0,0,135,0,154,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,384,0,0,0
85f6de8738a071caa3093a13e9e2bf1c,1437,14,0,0,0,0,0,133,54,1468,335,102,0,271,42,0,24,0,682,0,0,158,0,0,456,0,1053,55,0,403,511,288,2213,700,322,0
c7a009ec05d19d90c8c273878f5cace0,0,0,0,0,0,0,0,0,1401,0,0,0,0,205,330,348,0,0,0,0,0,713,0,0,0,872,1269,475,0,0,0,72,38,0,0,1532
88968b1a8b5abfc789dfca84d87f3e15,0,0,7370,7564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7978d01059c82edd6d23e88975afc900,30,0,0,3911,0,0,0,0,0,0,0,0,0,0,0,0,550,4,0,0,10755,469,0,0,0,0,0,0,0,13,0,0,0,0,0,0
529a8bbc5807b102ad33e6189a77db5e,0,0,0,0,0,0,0,0,0,0,49,226,0,3976,0,0,287,0,0,0,0,0,0,0,261,0,0,0,0,0,172,18,0,0,0,0
3096f7f19e26b77e62d54eb70911f272,0,0,0,0,1856,0,0,2720,43,0,0,241,0,0,0,0,0,0,0,0,0,0,384,0,0,0,1216,0,0,0,0,0,0,0,0,0
f4075edaf3548c8f38f4a39c3506b040,0,0,0,87,0,0,0,0,0,0,0,0,0,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,0,0,0,3,0
45eb12e7fefe4b13a5a617384d867156,15,0,0,0,0,0,0,0,0,0,0,319,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,18,0,0,214,0,0,0,0,0
