Bird,day_group,treatment,order,cort,AMaverage_food,PMaverage_food,averageFood_perDay,AMtotal_food,PMtotal_food,wholeDay_totalFood,sex,Fat (at end),q0,q1,q2,faith_pd
Z39,2,N,NRC,7.048,2.83,4,6.83,15,12,27,F,5,26,2.403215216,1.982101306,3.137211523
Z39,2,R,NRC,3.593,3,2.4,5.4,5,19,24,F,5,63,31.66247442,23.37686247,7.135037513
Z4,1,A,CNR,5.149,3.88,4.25,8.13,31,34,65,F,3,36,14.28359338,6.043149518,6.879101118
Z4,1,C,CNR,4.336,3.4,5,8.4,17,25,42,F,3,33,6.217813065,3.971102281,3.194212546
Z4,1,N,CNR,9.899,2.8,3,5.8,14,15,29,F,3,43,4.264662881,1.905935857,5.334270933
Z4,1,R,CNR,0.936,1.8,6,7.8,9,30,39,F,3,25,13.39778965,8.444523832,3.443210794
Z40,1,A,NRC,0.936,1.13,2.25,1.69,9,18,27,M,4,56,19.17269485,13.3595836,9.258877532
Z40,1,C,NRC,7.085,0.83,4.6,2.55,5,23,28,M,4,11,3.093728966,1.878908763,1.561363127
Z40,1,N,NRC,,2.2,3.2,2.7,11,16,27,M,4,27,12.9532248,6.613589049,3.382063683
Z40,1,R,NRC,5.335,0.4,5,2.7,2,25,27,M,4,179,76.92354416,39.40076915,10.54085488
Z42,2,A,NRC,2.793,3,4.63,7.63,24,37,61,,,,,,
Z42,2,C,NRC,2.395,3.75,5.25,9,20,31,51,,,,,,
Z42,2,N,NRC,0.936,3.33,6.2,9.53,21,20,41,,,,,,
Z42,2,R,NRC,1.526,4.2,4,8.2,15,21,36,,,,,,
Z43,1,A,NRC,0.936,2.83,2.57,5.4,17,18,35,M,0,,,,
Z43,1,C,NRC,0.901,2.5,4.33,6.83,5,27,32,M,0,72,6.486052479,2.549892457,4.269867393
Z43,1,N,NRC,0.988,1,6.75,7.75,11,21,32,M,0,16,11.22281646,8.12913473,1.753699207
Z43,1,R,NRC,1.606,3.67,5.25,8.92,10,13,23,M,0,35,18.15347039,14.37074071,5.639871503
Z44,1,A,CNR,1.478,4,4.25,8.25,32,34,66,M,0,10,8.218162555,6.564646537,1.577672044
Z44,1,C,CNR,0.936,3.2,4.4,7.6,16,22,38,M,0,48,30.09256048,25.40705848,6.09574588
Z44,1,N,CNR,1.423,3.2,4,7.2,16,16,32,M,0,38,13.90224337,10.88790072,3.670425847
Z44,1,R,CNR,2.625,1.33,3.8,5.13,8,19,27,M,0,,,,
Z45,1,A,CNR,4.514,2,3.75,5.75,16,30,46,M,0,49,13.56833161,6.585279984,4.07115178
Z45,1,C,CNR,15.552,2,3.2,5.2,10,16,26,M,0,24,12.29755421,10.80479205,5.300323101
Z45,1,N,CNR,5.823,3.2,2.2,5.4,16,11,27,M,0,26,8.431407521,4.133880118,4.856026275
Z45,1,R,CNR,6.689,2.5,3.4,5.9,15,17,32,M,0,84,33.2556512,16.56202032,8.703882483
Z46,2,A,NRC,0.936,1.88,2.38,4.25,15,19,34,F,x,,,,
Z46,2,C,NRC,1.066,1.4,4.8,6.2,7,26,33,F,x,43,4.527986375,2.038615127,9.084490193
Z46,2,N,NRC,1.141,1.17,5.2,6.37,9,11,20,F,x,27,17.73826465,14.80313633,2.398210064
Z46,2,R,NRC,1.403,1.8,2.75,4.55,7,24,31,F,x,54,25.48314397,14.6040852,3.569648874
Z5,1,A,NRC,11.545,2.13,3.75,5.88,17,30,47,M,1,35,18.72345993,14.14915006,5.142709107
Z5,1,C,NRC,11.539,2.8,5,7.8,12,33,45,M,1,51,29.13246972,22.82220485,5.675434914
Z5,1,N,NRC,4.727,2,6.6,8.6,22,23,45,M,1,29,16.75502967,14.13703389,2.56983275
Z5,1,R,NRC,10.712,4.4,4.6,9,14,25,39,M,1,24,14.7407185,13.08204635,5.37163964
Z6,2,A,CNR,5.53,4.14,2.75,6.89,29,22,51,M,x,54,22.36656949,16.91222447,4.521436868
Z6,2,C,CNR,7.895,3.8,3,6.8,19,12,31,M,x,29,12.55225321,10.96935061,4.352725077
Z6,2,N,CNR,9.284,3.6,4.2,7.8,18,21,39,M,x,28,17.76222893,13.46826106,4.558400268
Z6,2,R,CNR,9.345,2.33,3.4,5.73,14,17,31,M,x,37,18.90521279,14.05839953,6.33183552
Z9,2,A,CNR,0.936,2.13,3.63,5.75,17,29,46,,,,,,
Z9,2,C,CNR,1.658,3.6,2.4,6,18,12,30,,,,,,
Z9,2,N,CNR,7.59,1.8,3.8,5.6,9,19,28,,,,,,
Z9,2,R,CNR,1.897,1.83,3,4.83,11,15,26,,,,,,
