index,Unassigned;__,d__Bacteria;__,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Zixibacteria,d__Eukaryota;__,d__Eukaryota;p__Basidiomycota
Z43-N,1157,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355,0,0,0,0,0
Z43-R,939,7205,0,1426,46,0,0,0,0,0,0,0,1153,0,0,0,0,0,709,0,0,0,0,0
Z44-A,222,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0,0,0,0,0
Z44-C,3836,9734,0,9222,38,0,0,0,0,0,9,0,3274,0,0,0,0,0,4501,0,0,0,0,0
Z44-N,216,6856,0,96,2,0,0,0,0,0,0,0,1746,0,0,0,0,0,1298,0,0,0,0,0
Z45-A,183,1100,0,17426,0,0,0,0,75,0,0,0,7401,0,0,0,0,0,5405,0,0,0,0,0
Z45-C,194,9205,0,3446,157,0,0,0,0,0,0,0,343,0,0,0,0,0,820,0,0,0,0,0
Z45-N,186,4878,0,13508,0,0,0,0,0,0,0,0,456,0,0,0,0,0,4699,0,0,0,0,3
Z45-R,309,6481,0,4308,1647,0,0,0,341,0,0,0,13298,0,0,0,0,13,5637,0,36,0,0,0
Z46-C,37,307,0,19712,290,0,0,0,0,0,0,0,2934,0,0,0,0,0,3871,0,0,0,0,0
Z46-N,1443,3905,0,35,36,0,0,0,0,0,0,0,303,4,0,0,0,0,479,0,0,0,0,0
Z46-R,315,8849,0,2337,0,0,0,0,0,0,0,0,7033,0,0,0,0,0,16338,0,0,0,0,0
Z5-A,1803,16841,0,441,294,0,0,0,0,0,0,0,1971,0,0,148,0,0,4063,0,0,0,0,43
Z5-C,158,7538,100,4640,791,0,0,0,0,0,0,0,8340,0,0,0,0,178,5143,0,0,0,0,0
Z5-N,529,7912,0,55,0,0,0,0,0,0,0,0,1749,0,0,0,0,0,3719,0,0,0,0,0
Z5-R,5694,14607,0,442,0,0,0,0,0,0,0,0,953,0,0,0,0,0,597,0,0,0,0,0
Z6-A,1125,16399,0,1498,7,0,0,0,100,278,0,0,2826,0,276,0,59,0,6471,0,56,0,0,4
Z6-C,664,19268,0,566,0,0,0,0,0,0,0,0,4415,0,0,0,0,0,3472,0,0,0,0,0
Z6-N,498,2803,0,3330,0,0,0,0,0,0,0,0,1346,0,0,0,0,0,3028,0,0,0,0,51
Z6-R,739,7461,0,696,152,0,0,4,0,0,0,0,1474,0,0,0,0,104,564,0,0,0,0,0
