#OTU ID,Z1-A,Z1-C,Z1-N,Z1-R,Z11-A,Z11-C,Z11-N,Z11-R,Z13-A,Z13-C,Z13-N,Z18-A,Z18-C,Z18-R,Z23-C,Z23-N,Z23-R,Z26-C,Z26-N,Z26-R,Z28-A,Z28-C,Z28-N,Z28-R,Z29-A,Z29-C,Z29-N,Z29-R,Z32-A,Z32-C,Z32-N,Z32-R,Z36-A,Z36-C,Z36-N,Z36-R,Z39-A,Z39-N,Z39-R,Z4-A,Z4-C,Z4-N,Z4-R,Z40-A,Z40-C,Z40-N,Z40-R,Z43-C,Z43-N,Z43-R,Z44-A,Z44-C,Z44-N,Z45-A,Z45-C,Z45-N,Z45-R,Z46-C,Z46-N,Z46-R,Z5-A,Z5-C,Z5-N,Z5-R,Z6-A,Z6-C,Z6-N,Z6-R
ab837a6e67e05a462c243f4222572c8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475032c774a23b3d0f0652e589bc4526,204,0,0,176,0,0,25,0,0,0,0,817,0,0,0,28,185,0,560,42,0,0,0,351,0,0,0,0,0,0,0,808,161,0,0,0,0,0,93,156,0,0,0,0,0,180,0,0,0,0,0,0,0,373,0,0,182,379,0,0,0,0,0,0,0,0,0,302
4a9eba678a7aecbc887ea09bfce8dc2e,94,0,127,106,0,0,0,66,178,74,0,0,0,136,0,75,110,0,99,0,48,79,143,125,0,0,0,0,0,175,45,0,0,0,130,0,0,0,88,0,99,133,0,0,0,0,0,42,215,113,0,527,96,0,0,0,0,0,163,0,321,0,134,766,203,102,81,0
3016de8e0b5f16495f5f7b98621e56aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2669,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d43fb3f1c63fdecdc64d734d2cb60eb4,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f95696b93e1f3b8035ca952bd92a6f7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,899,0,588,166,0,12,0,0,27,88,0,0,0,0,0,0,0,0,0,844,0,0,190,0,0,18,0,0,0,0,0,0,28,157,0,0,0,0,19,0,0,0,1155,84
50cb832342a567468d29244abb563b3b,0,203,0,0,0,31,47,0,0,0,0,0,0,0,0,0,0,362,0,0,2418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,327,0,0,0,197,0,0,0,445,0,0,0
17826560117c5219ff5cc22d4449d738,90,0,133,55,0,0,162,137,124,0,0,0,0,82,0,112,110,0,57,0,46,90,0,92,0,0,0,0,0,159,0,0,122,0,0,0,0,0,84,0,73,104,0,0,0,0,0,0,205,108,0,429,0,0,0,0,56,0,127,69,273,0,0,617,137,74,64,0
26b5a4abbd1e139ef36e63f1061578fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505cdd28dcd0b23e46f7c461816d2387,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,44,0,508,0,0,155,0,0,0,111,0,283,0,12,0,0,46,18,0,18,0,0,0,65,684,0,0,0,154,196,0,199,0,0,0,0,31,0,0,0,408,53,0,479,0,0,0,0,132,0,0,0
