#OTU ID,Bird,day_group,treatment,order,cort,AMaverage_food,PMaverage_food,averageFood_perDay,AMtotal_food,PMtotal_food,wholeDay_totalFood,sex,Fat (at end),q0,q1,q2
Z45-N,Z45,1,N,CNR,5.823,3.2,2.2,5.4,16,11,27,M,0,26,8.431407521,4.133880118
Z45-R,Z45,1,R,CNR,6.689,2.5,3.4,5.9,15,17,32,M,0,84,33.2556512,16.56202032
Z46-C,Z46,2,C,NRC,1.066,1.4,4.8,6.2,7,26,33,F,x,43,4.527986375,2.038615127
Z46-N,Z46,2,N,NRC,1.141,1.17,5.2,6.37,9,11,20,F,x,27,17.73826465,14.80313633
Z46-R,Z46,2,R,NRC,1.403,1.8,2.75,4.55,7,24,31,F,x,54,25.48314397,14.6040852
Z5-A,Z5,1,A,NRC,11.545,2.13,3.75,5.88,17,30,47,M,1,35,18.72345993,14.14915006
Z5-C,Z5,1,C,NRC,11.539,2.8,5,7.8,12,33,45,M,1,51,29.13246972,22.82220485
Z5-N,Z5,1,N,NRC,4.727,2,6.6,8.6,22,23,45,M,1,29,16.75502967,14.13703389
Z5-R,Z5,1,R,NRC,10.712,4.4,4.6,9,14,25,39,M,1,24,14.7407185,13.08204635
Z6-A,Z6,2,A,CNR,5.53,4.14,2.75,6.89,29,22,51,M,x,54,22.36656949,16.91222447
Z6-C,Z6,2,C,CNR,7.895,3.8,3,6.8,19,12,31,M,x,29,12.55225321,10.96935061
Z6-N,Z6,2,N,CNR,9.284,3.6,4.2,7.8,18,21,39,M,x,28,17.76222893,13.46826106
Z6-R,Z6,2,R,CNR,9.345,2.33,3.4,5.73,14,17,31,M,x,37,18.90521279,14.05839953
